Time,Mach,Alpha_D,Altitude,Latitude,Longitude
217,1.531268538,1.438884707,49798.38289,33.14447771,-98.01965128
218,1.531267276,1.436004041,49780.90894,33.14531409,-98.02437473
219,1.531265987,1.433240098,49763.43271,33.14615206,-98.02909816
220,1.531264726,1.430695056,49745.95284,33.1469916,-98.03382159
221,1.531263939,1.424380798,49728.45907,33.14783272,-98.03854502
222.017,1.531263105,1.421172198,49710.95986,33.14867543,-98.04326843
223.017,1.531264456,1.419308947,49693.42089,33.14951972,-98.04799184
224.017,1.531263502,1.425547331,49675.85731,33.1503656,-98.05271525
225.017,1.531261232,1.423405705,49658.32063,33.15121307,-98.05743864
226.05,1.531264073,1.393779366,49640.75571,33.15206213,-98.06216204
227.05,1.531265345,1.415020235,49623.1432,33.15291276,-98.06688542
228.05,1.531263683,1.415372692,49605.49508,33.15376497,-98.07160881
229.05,1.531252388,1.473937396,49588.06749,33.15461875,-98.07633217
230.05,1.531212142,1.581593772,49571.44848,33.15547411,-98.08105545
231.05,1.531142192,1.636156044,49556.45165,33.1563311,-98.0857786
232.05,1.531059028,1.614930383,49543.58307,33.15718971,-98.09050157
233.017,1.530979362,1.553231216,49532.74811,33.15804992,-98.09522433
234.05,1.530905392,1.507912752,49523.49432,33.15891171,-98.09994688
235.083,1.53083932,1.479103545,49515.37991,33.15977504,-98.10466923
236.05,1.530779215,1.470683885,49508.14073,33.16063991,-98.10939139
237.05,1.530723261,1.467666201,49501.66658,33.1615063,-98.11411339
238.05,1.530672798,1.464054632,49495.91414,33.16237423,-98.11883524
239.05,1.530627881,1.454017002,49490.84011,33.16324369,-98.12355694
240.05,1.530611655,1.442117665,49486.37647,33.16411469,-98.12827853
241.05,1.530639366,1.432150591,49482.42048,33.1649872,-98.13299994
242.05,1.530655209,1.42579819,49478.87989,33.16586114,-98.1377211
243.05,1.53067055,1.423012385,49475.69832,33.16673634,-98.14244204
244.05,1.530686122,1.419055823,49472.84438,33.16761273,-98.14716278
245.05,1.530701802,1.415093917,49470.28564,33.16849024,-98.15188334
246.05,1.530718284,1.411400363,49467.98779,33.16936878,-98.15660373
247.05,1.530736047,1.406474538,49465.91406,33.17024829,-98.16132398
248.05,1.530754426,1.40639582,49464.04549,33.17112868,-98.16604411
249.05,1.530773379,1.403583601,49462.35475,33.17200988,-98.17076414
250.05,1.530792777,1.40150289,49460.82532,33.17289181,-98.17548409
251.117,1.530812629,1.399574609,49459.43788,33.17377439,-98.18020399
252.05,1.530832795,1.39865653,49458.17405,33.17465753,-98.18492385
253.05,1.530852891,1.397128164,49457.0235,33.17554117,-98.1896437
254.05,1.530873661,1.398575961,49455.96566,33.17642524,-98.19436356
255.05,1.530892861,1.397263487,49454.99902,33.17730967,-98.19908343
256.05,1.530912915,1.393756606,49454.1374,33.17819443,-98.20380333
257.05,1.530933811,1.391699669,49453.35549,33.17907946,-98.20852327
